نمبر شمار,کتاب کا نام,درجہ / شعبہ,مضمون,قسم,مصنف / شارح,PDF لنک
185,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 3),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%203.pdf
186,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 4),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%204.pdf
187,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 5),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%205.pdf
188,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 6),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%206.pdf
189,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 7),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%207.pdf
190,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 8),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%208.pdf
191,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 9),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%209.pdf
192,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 10),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2010.pdf
193,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 11),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2011.pdf
194,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 12),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2012.pdf
195,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 13),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2013.pdf
196,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 14),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2014.pdf
197,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 15),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2015.pdf
198,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 16),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2016.pdf
199,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 17),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2017.pdf
200,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 18),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2018.pdf
201,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 19),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2019.pdf
202,نخبۃ الافکار فی تنقیح مبانی الاخبار فی شرح معانی الآثار (جلد 20),درجہ ثامنہ,حدیث,عربی شرح,امام بدر الدین محمود بن احمد العینیؒ,https://archive.org/download/NakhbulAfkaarFiTanqeehMabaniAlAkhbaar/%D9%86%D8%AE%D8%A8%20%D8%A7%D9%84%D8%A7%D9%81%DA%A9%D8%A7%D8%B1%20%D8%AC%D9%84%D8%AF%2020.pdf
203,تہذیب الطحاوی فی احادیث الاحکام,درجہ ثامنہ,حدیث,درسی تلخیص,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/feb-21/TAHZEEB_AL_TAHAWI.pdf
204,تسہیل الطحاوی فی حل شرح معانی الآثار,درجہ ثامنہ,حدیث,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/TASHEEL_UT_TAHAWI.pdf
205,تقریرِ طحاوی شریف,درجہ ثامنہ,حدیث,اردو تقریر,مولانا مفتی مہدی حسن شاہجہاں پوریؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/TAQREER_E_TAHAWI_SHAREEF.pdf
206,نوٹِ طحاوی درسی یادداشتیں,درجہ ثامنہ,حدیث,درسی نوٹ,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/NOTE_E_TAHAWI.pdf
207,ایضاح الطحاوی شرح معانی الآثار (مکمل ۳ جلدیں),درجہ ثامنہ,حدیث,اردو شرح,مولانا شبیر احمد قاسمیؒ / مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/20251118_20251118_0835/%D8%A7%DB%8C%D8%B6%D8%A7%D8%AD%20%D8%A7%D9%84%D8%B7%D8%AD%D8%A7%D9%88%DB%8C%20%D8%B4%D8%B1%D8%AD%20%D9%85%D8%B9%D8%A7%D9%86%DB%8C%20%D8%A7%D9%84%D8%A7%D8%AB%D8%A7%D8%B1%20%28%D9%84%D9%84%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D8%A8%DB%8C%20%D8%AC%D8%B9%D9%81%D8%B1%20%D8%A7%D9%84%D8%B7%D8%AD%D8%A7%D9%88%DB%8C%29%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%88%D9%81%20%D8%B7%D8%AD%D8%A7%D9%88%DB%8C%20%D8%B4%D8%B1%DB%8C%D9%81%20%DB%94%20%D8%B4%D8%A8%DB%8C%D8%B1%20%D8%A7%D8%AD%D9%85%D8%AF%20%D9%82%D8%A7%D8%B3%D9%85%DB%8C%20%DB%94%20%D9%85%DA%A9%D9%85%D9%84%20%D8%AC%D9%84%D8%AF%20%D8%A7%D9%88%D9%84%20%D8%AF%D9%88%D9%85%20%20%D8%B3%D9%88%D9%85%20%DB%94%20%D8%AD%D9%82.pdf
208,ایضاح الطحاوی فی حل شرح معانی الآثار (جلد دوم),درجہ ثامنہ,حدیث,اردو شرح,مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/EIZAH_UT_TAHAWI_VOL_02.pdf
209,نظرِ طحاوی فی احادیث الاحکام,درجہ ثامنہ,حدیث,اردو شرح,مولانا عبد الرحیم قاسمیؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear03/NAZR_E_TAHAWI.pdf
210,احسان الٰہی اردو شرح موطا، طحاوی، نسائی و ابن ماجہ,درجہ ثامنہ,حدیث,مجموعہ شروحات,مولانا احسان اللہ قاسمیؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/IhsanEElahiUrduSharhMoattaaintahavinasaeeIbnEMaja.pdf
211,شرح معانی الآثار مع اردو ترجمہ و تشریح (جلد اول - مقدمہ و کتاب الطہارۃ),درجہ ثامنہ,حدیث,اردو ترجمہ و تشریح,امام ابو جعفر احمد بن محمد الطحاویؒ,https://archive.org/download/tahawi-ur/tahawi-0.pdf
212,شرح معانی الآثار مع اردو ترجمہ و تشریح (جلد دوم - کتاب الصلاۃ),درجہ ثامنہ,حدیث,اردو ترجمہ و تشریح,امام ابو جعفر احمد بن محمد الطحاویؒ,https://archive.org/download/tahawi-ur/tahawi-1.pdf
213,شرح معانی الآثار مع اردو ترجمہ و تشریح (جلد سوم - بقیہ ابواب الصلاۃ و الجنائز),درجہ ثامنہ,حدیث,اردو ترجمہ و تشریح,امام ابو جعفر احمد بن محمد الطحاویؒ,https://archive.org/download/tahawi-ur/tahawi-2.pdf
214,شرح معانی الآثار مع اردو ترجمہ و تشریح (جلد چہارم - الزکاۃ و الصوم و الحج),درجہ ثامنہ,حدیث,اردو ترجمہ و تشریح,امام ابو جعفر احمد بن محمد الطحاویؒ,https://archive.org/download/tahawi-ur/tahawi-3.pdf
215,شرح معانی الآثار مع اردو ترجمہ و تشریح (جلد پنجم - البیوع و مابعدھا),درجہ ثامنہ,حدیث,اردو ترجمہ و تشریح,امام ابو جعفر احمد بن محمد الطحاویؒ,https://archive.org/download/tahawi-ur/tahawi-4.pdf
216,احسن الحاوی فی شرح طحاوی شریف,درجہ ثامنہ,حدیث,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear03/AHSAN_UL_HAWI_SHARH_TAHAWI_SHAREEF.pdf
217,بغیۃ السالک الی اشرف المسالک شرح موطا امام مالک (جلد اول),درجہ ثامنہ,حدیث,عربی شرح,علامہ مولانا محمد زکریا کاندھلویؒ,https://archive.org/download/oct10-22/BUGHYATUS_SALIK_VOL_01.pdf
218,بغیۃ السالک الی اشرف المسالک شرح موطا امام مالک (جلد دوم),درجہ ثامنہ,حدیث,عربی شرح,علامہ مولانا محمد زکریا کاندھلویؒ,https://archive.org/download/oct10-22/BUGHYATUS_SALIK_VOL_02.pdf
219,تنقیح المسالک فی شرح موطا امام مالک,درجہ ثامنہ,حدیث,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear03/TANQIH_UL_MASALIK_SHARH_MUWATTA_IMAM_MALIK.pdf
220,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد اول),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-01.pdf
221,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد دوم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-02.pdf
222,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد سوم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-03.pdf
223,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد چہارم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-04.pdf
224,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد پنجم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-05.pdf
225,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد ششم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-06.pdf
226,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد ہفتم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-07.pdf
227,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد ہشتم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-08.pdf
228,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد نہم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-09.pdf
229,لمعات التنقیح فی شرح مشکوٰۃ المصابیح (جلد دہم),درجہ ثامنہ,حدیث,عربی شرح,شیخ عبد الحق محدث دہلویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/LAMAAT-UN-TANQEEH-VOL-10.pdf
230,المسائل والدلائل فی احادیث الاحکام,درجہ ثامنہ,حدیث,احادیث الاحکام,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/Al_Masail_Wad_Dalail.pdf
231,محدثینِ عظام اور ان کی کتابوں کا تعارف,درجہ ثامنہ,حدیث,تاریخِ حدیث و رجال,مولانا سلیم اللہ خانؒ,https://archive.org/download/Mahaditheen-e-AzzaamAurUnkiKitabonKaTaarufByShaykhSaleemullahKhan/Mahaditheen-e-AzzaamAurUnkiKitabonKaTaarufByShaykhSaleemullahKhan.pdf
232,حل شدہ پرچہ جات دورۂ حدیث شریف (2021),درجہ ثامنہ,امتحانات,حل شدہ پرچہ جات,وفاق المدارس العربیہ پاکستان,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/PARCHAJAAT_DAORA_HADITH_2021.pdf
233,تدریب الراوی فی شرح تقریب النواوی,درجہ ثامنہ,حدیث,اصولِ حدیث,امام جلال الدین السیوطیؒ,https://archive.org/download/DoraEHadees/TADREEB_UL_RAWI.pdf
234,جمال القرآن جدید,درجہ اولیٰ,تجوید,علم التجوید,حکیم الامت حضرت مولانا اشرف علی تھانویؒ,https://dn710108.ca.archive.org/0/items/20251002_20251002_1345/جمال القرآن جدید ۔ شاہ محمد اشرف علی تھانوی ۔ حق .pdf
235,الطریقۃ العصریۃ فی تعلیم اللغۃ العربیۃ,درجہ اولیٰ,عربی ادب,درسی کتاب,فضیلۃ الشیخ عبد الرزاق بن عبد المجید الگیلانیؒ,https://dn790006.ca.archive.org/0/items/tareeqa-tul-asria/الطريقۃ العصريۃ - Tareeqa tul Asria.pdf
236,امل النحو,درجہ اولیٰ,نحو,آسان اردو شرح,حضرت مولانا مفتی شفیق الرحمنؒ,https://dn760102.eu.archive.org/0/items/iml-ul-nahaw/Iml-ul-Nahaw.pdf
237,ارشاد الصرف,درجہ اولیٰ,صرف,درسی کتاب,حضرت مولانا ارشاد احمد مدظلہ,https://dn760005.eu.archive.org/0/items/DarsENizami_DarjaAula_1stYear/IrshadUsSarf.pdf
238,تعلیم المتعلم طریق التعلم,درجہ اولیٰ,اخلاقیات,اصل کتاب,علامہ برہان الدین الزرنوجیؒ,https://archive.org/download/taleem-ul-mutallim-tareeq-ul-tallum-sheikh-burhan-ul-deen-al-zarnoji/تعلیم المتعلم.pdf
239,نحو میر اردو مع تشریح,درجہ اولیٰ,نحو,اردو ترجمہ و تشریح,میر سید شریف علی بن محمد الجرجانیؒ,https://archive.org/download/mnhbooks/NAHWMEER_URDU.pdf
240,مختصر القدوری مع المعتصر الضروری (مکتبۃ البشریٰ),درجہ ثانیہ,فقہ,اصل کتاب مع حاشیہ,امام ابو الحسن احمد بن محمد القدوریؒ / الشیخ سلیمان الہندیؒ,https://dn720800.ca.archive.org/0/items/20260215_20260215_0640/مختصر القدوری، امام ابی الحسن احمد البغدادی القدوری، المعتصر الضروری، سلیمان ہندی، ؟عربی، مکتبہ البشریٰ ۔ حق .pdf
241,مختصر القدوری شرح بغدادی (قدیم ایڈیشن),درجہ ثانیہ,فقہ,اصل کتاب مع شرح,امام ابو الحسن احمد بن محمد القدوریؒ,https://archive.org/download/20231203_20231203_1822/مختصر القدوری شرح بغدادی قدیم ایڈیشن.pdf
242,القراءۃ الراشدۃ (جلد اول),درجہ ثانیہ,عربی ادب,درسی کتاب,حضرت مولانا سید ابو الحسن علی حسنی ندویؒ,https://www.talibeilm.net/uploads/4/7/1/3/4713847/al-qiraat_ul_rashedah_vol-1.pdf
243,القراءۃ الراشدۃ مع ایضاح القراءۃ (جدید ایڈیشن),درجہ ثانیہ,عربی ادب,اردو شرح و حاشیہ,مولانا سید ابو الحسن علی ندویؒ / مولانا نسیم احمد اعظمیؒ,https://archive.org/download/20230304_20230304_0242/القراءة الراشدة مع ایضاح القراءة جدید ایڈیشن.pdf
244,المرقاۃ فی المنطق,درجہ ثانیہ,منطق,اصل کتاب,علامہ فضل امام خیر آبادیؒ,https://www.talibeilm.net/uploads/4/7/1/3/4713847/al_mirqat.pdf
245,عینۃ العلم فی تفسیر القرآن بالقرآن,درجہ ثانیہ,تفسیر,درسی تفسیر,علماء جامعہ حقانیہ,https://archive.org/download/20250924_20250924_1348/عینة العلم فی تفسیر القرآن بالقرآن جامعہ حق.pdf
246,قانون الادب,درجہ ثانیہ,عربی ادب,قواعد و انشاء,مولانا عتیق الرحمن اعظمیؒ,https://archive.org/download/20260215_20260215_1437/کانون الادب عتیق الرحمن اعظمی.pdf
247,اصول الشاشی (نسخہ اول),درجہ ثانیہ,اصول فقہ,اصل کتاب,امام نظام الدین اسحاق بن ابراہیم الشاشیؒ,https://archive.org/download/20230212_20230212_0336/اصول الشاشی.pdf
248,اصول الشاشی مع تحقیق و تعلیق,درجہ ثانیہ,اصول فقہ,اصل کتاب مع تحقیق,امام نظام الدین الشاشیؒ / تحقیق ڈاکٹر محمد اکرم ندوی,https://archive.org/download/Usul_Ash-Shashi_Wa_Shuroohatuha/اصول الشاشی بتحقیق محمد اکرم ندوی.pdf
249,آسان اصول فقہ (الاسعدی),درجہ ثانیہ,اصول فقہ,آسان اردو شرح,حضرت مولانا اسعد اللہ اعظمیؒ,https://archive.org/download/20251007_20251007_1036/آسان اصول فقہ الاسعدی.pdf
250,تسہیل المنطق,درجہ ثانیہ,منطق,آسان اردو شرح,حضرت مولانا عبد اللہ صاحب مدظلہ,https://archive.org/download/images_201602/images.pdf
251,الکافیۃ (نسخہ دار العلوم دیوبند),درجہ ثالثہ,نحو,اصل کتاب مع حاشیہ,علامہ ابن حاجب جمال الدین عثمان بن عمر النحویؒ,https://archive.org/download/20260623_20260623_1100/کافیہ دار العلوم دیوبند.pdf
252,معلم الانشاء (جلد دوم - نسخہ ثانی),درجہ ثالثہ,انشاء,مشقی مواد,حضرت مولانا عبد الماجد ندویؒ,https://archive.org/download/muallam-ul-insha-jild-02-1/Muallam-ul-Insha - Jild 02 (1).pdf
253,نور الانوار جلد اول (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ رابعہ,اصول فقہ,اصل کتاب,علامہ احمد بن ابی سعید الشیخ ملا جیونؒ,http://www.mediafire.com/file/rj0cu9ykkcrt5cw/NoorUlAnwaarVol1AlBushraColor.pdf/file
254,سنن النسائی شریف (جلد اول - قدیمی کتب خانہ),درجہ ثامنہ,حدیث,اصل کتاب,امام احمد بن شعیب النسائیؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/SUNAN-E-NASAI-VOL-1-QADEMI.pdf
255,سنن النسائی شریف مترجم اردو (جلد اول),درجہ ثامنہ,حدیث,اردو ترجمہ و شرح,امام احمد بن شعیب النسائیؒ / اردو ترجمہ و تشریح,https://archive.org/download/SunanENisai_Complete/Sunan%20e%20Nisai%20Jild%201.pdf
256,سنن النسائی شریف مترجم اردو (جلد دوم),درجہ ثامنہ,حدیث,اردو ترجمہ و شرح,امام احمد بن شعیب النسائیؒ / اردو ترجمہ و تشریح,https://archive.org/download/SunanENisai_Complete/Sunan%20e%20Nisai%20Jild%202.pdf
257,سنن النسائی شریف مترجم اردو (جلد سوم),درجہ ثامنہ,حدیث,اردو ترجمہ و شرح,امام احمد بن شعیب النسائیؒ / اردو ترجمہ و تشریح,https://archive.org/download/SunanENisai_Complete/Sunan%20e%20Nisai%20Jild%203.pdf
258,تحفۃ القاری اردو شرح صحیح البخاری (جلد دوم - تفصیلی ایڈیشن),درجہ ثامنہ,حدیث,اردو درسی شرح,حضرت مولانا مفتی سعید احمد پالن پوریؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/TohfatUlQariUrduSharhAlSahihUlBukhariVol2.pdf
259,الشمائل المحمدیۃ للترمذی (مکتبۃ البشریٰ),درجہ ثامنہ,حدیث,اصل کتاب,امام ابو عیسیٰ محمد بن عیسیٰ الترمذیؒ,https://archive.org/download/SHAMAILETIRMEZI/SHAMAIL%20E%20TIRMEZI%20AL%20BUSHRA.pdf
260,نور الإیضاح (اصل متن),درجہ اولیٰ,فقہ,اصل کتاب,الشیخ حسن بن عمار الشرنبلالیؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear/NOOR-UL-AIZAH-O-NAJAT-UL-ARWAH.pdf
261,نور الإیضاح (مکتبہ رحمانیہ),درجہ اولیٰ,فقہ,اصل کتاب,الشیخ حسن بن عمار الشرنبلالیؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear/NOOR%20UL%20EZAH%20RAHMANIA.pdf
262,نور الإیضاح (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ اولیٰ,فقہ,اصل کتاب,الشیخ حسن بن عمار الشرنبلالیؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear_02/NoorUlEzahAlBushraColor.pdf
263,حاشیۃ الطحطاوی علی مراقی الفلاح,درجہ اولیٰ,فقہ,شروح وحواشی,العلامۃ احمد بن محمد الطحطاویؒ,https://archive.org/download/besturdubooks2/Hashia-Al-Tahtawi.pdf
264,شفاء الأرواح (اردو شرح نور الإیضاح),درجہ اولیٰ,فقہ,شروح وحواشی,مولانا شفیق الرحمنؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear/Shifa-Ul-Arwaah-Urdu-Sharah-Noor-Ezah.pdf
265,مراقی الفلاح شرح نور الإیضاح,درجہ اولیٰ,فقہ,شروح وحواشی,الشیخ حسن بن عمار الشرنبلالیؒ,https://archive.org/download/besturdubooks2/Maraqil-Falah.pdf
266,ثمرات النجاح (جلد اول - اردو شرح نور الإیضاح),درجہ اولیٰ,فقہ,شروح وحواشی,مولانا ثناء اللہ خانؒ,https://archive.org/download/SamaratUnNajah/Samarat_Un_Najah_Vol_1.pdf
267,امداد الفتاح (عربی شرح نور الإیضاح),درجہ اولیٰ,فقہ,شروح وحواشی,الشیخ حسن بن عمار الشرنبلالیؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear/IMDAD%20UL%20FATTAH%20ARABIC%20SHAR%20NOOR%20UL%20IZAH.pdf
268,انوار الإیضاح (اردو شرح نور الإیضاح),درجہ اولیٰ,فقہ,شروح وحواشی,مولانا انوار الحقؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear/AnwaarUlEizahUrduSharhNoorUlEizah.pdf
269,نحو میر (اصل متن),درجہ اولیٰ,نحو,اصل کتاب,میر سید شریف جرجانیؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear/NAHWMEER-URDU.pdf
270,نحو میر (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ اولیٰ,نحو,اصل کتاب,میر سید شریف جرجانیؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear_02/NahwMeerAlBushraColor.pdf
271,نحو میر (معیاری اردو ایڈیشن),درجہ اولیٰ,نحو,اصل کتاب,میر سید شریف جرجانیؒ,https://archive.org/download/NAHWMEERURDU/NAHW%20MEER%20URDU.pdf
272,اشرف النحو (اردو شرح نحو میر),درجہ اولیٰ,نحو,شروح وحواشی,مولانا اشرف علی تھانویؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear/ASHRAF_UN_NAHW_SHARH_NAHWMIR.pdf
273,ریح العبیر (شرح نحو میر),درجہ اولیٰ,نحو,شروح وحواشی,علامہ عبد المجیدؒ,https://archive.org/download/DarsENizami_DarjaAula_1stYear_02/REEHUL_ABEER_SHARH_E_NAHWAMIR.pdf
